"AtcoCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1800SB32501","mangtwmw","",,"Wilbraham Road/St Werburgh's","","St Werburgh's","","CHURCH","","WILBRAHAM ROAD","","","","Church","","E","E0029530","Whalley Range","Manchester","","","","","","0","U",382290,394040,-2.26809,53.44285,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32511","mangtwpa","",,"Wilbraham Road/St Werburgh's","","St Werburgh's","","TEALBY COURT","","WILBRAHAM ROAD","","","","Tealby Court","","W","E0029530","Whalley Range","Manchester","","","","","","0","U",382424,394046,-2.26607,53.44291,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32521","mangtwpd","",,"Wilbraham Road/Wyverne Road","","Wyverne Road","","O/S HOUSE 441","","WILBRAHAM ROAD","","","","O/s House 441","","W","E0029530","Whalley Range","Manchester","","","","","","0","U",382634,394072,-2.26291,53.44315,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32531","mangtwpg","",,"Wilbraham Road/Wyverne Road","","Wyverne Road","","O/S HOUSE 334","","WILBRAHAM ROAD","","","","O/s House 334","","E","E0029530","Whalley Range","Manchester","","","","","","0","U",382692,394093,-2.26204,53.44334,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32541","mangtwpj","",,"Wilbraham Road/Withington Road","","Withington Road","","O/S HOUSE 389","","WILBRAHAM ROAD","","","","O/s House 389","","W","E0029530","Whalley Range","Manchester","","","","","","0","U",382951,394092,-2.25814,53.44334,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32601","mangtwpm","",,"Manchester Road/Kensington Road","","Kensington Road","","DIAL A HOME","","MANCHESTER ROAD","","","","Dial A Home","","NE","E0029530","Whalley Range","Manchester","","","","","","0","U",381681,394547,-2.27729,53.44739,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32611","mangtwpt","",,"Manchester Road/Buckingham Road","","Buckingham Road","","OP QUEENS COURT","","MANCHESTER ROAD","","","","Op Queens Court","","SW","E0029530","Whalley Range","Manchester","","","","","","0","U",381761,394668,-2.27609,53.44848,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32621","mangtwpw","",,"Manchester Road/Buckingham Road","","Buckingham Road","","HOUSE 149","","MANCHESTER ROAD","","","","House 149","","NE","E0029530","Whalley Range","Manchester","","","","","","0","U",381775,394707,-2.27588,53.44883,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB32631","mangtwta","",,"Manchester Road/Kensington Road","","Kensington Road","","DHSS OFFICES","","MANCHESTER ROAD","","","","Dhss Offices","","S","E0028713","Chorlton","Manchester","","","","","","0","U",381658,394403,-2.27763,53.44609,"BCT","MKD","OTH","","Stop Movement","","083","2009-03-26T00:00:00","2009-03-26T00:00:00",1,"new","act"
"1800SB32641","mangtwtd","",,"Manchester Road/Chorlton Library","","Chorlton Library","","OS HAIRDRESSERS","","MANCHESTER ROAD","","","","Nr Chorlton Library","","N","E0028713","Chorlton","Manchester","","","","","","0","U",381593,394306,-2.2786,53.44522,"BCT","MKD","OTH","","INDICATOR AMENDED","","083","2010-09-20T00:00:00","2010-09-20T00:00:00",1,"new","act"
